Panickers Escaped,Wardens Escaped
0,0
0,0
0,0
0,0
0,0
0,1
0,1
0,2
0,2
0,4
0,4
0,4
0,4
0,6
0,6
0,7
0,8
0,8
0,8
1,8
1,9
1,10
1,10
1,10
1,11
1,12
1,12
1,12
1,12
1,12
1,12
1,12
1,13
1,14
1,15
1,18
1,26
1,26
1,28
1,28
1,30
1,35
1,37
1,42
1,44
1,49
1,53
1,56
1,58
1,59
1,60
1,61
1,61
1,63
1,65
1,67
1,71
1,72
1,76
1,78
1,79
1,80
1,80
1,80
1,83
1,83
2,83
2,83
2,83
2,83
2,83
2,86
2,86
2,89
2,91
3,94
3,94
3,97
3,97
3,98
3,98
3,98
3,98
3,99
3,100
3,100
3,100
4,100
4,100
4,100
4,100
5,100
5,100
5,100
5,100
5,100
6,100
6,100
6,100
6,100
6,100
6,100
6,100
6,100
6,100
6,100
6,100
6,100
6,100
6,100
6,100
6,100
6,100
6,100
6,100
6,100
6,100
6,100
6,100
6,100
6,100
6,100
6,100
6,100
6,100
6,100
6,100
6,100
6,100
6,100
6,100
6,100
6,100
6,100
6,100
6,100
